Minis ; ; ; ;; ; ; ; ;; 
VOLVO V50;279;0,8;-;49,5;54,8; 3 588;0,8;-;17,9;65
VOLVO 40;23;0,1;-;32,4;65,2;265;0,1;-;35,8;60,4
VOLVO 60;700;1,9;-;6,8;68,6; 10 627;2,3;+;356,3;72,8
VW PASSAT; 7 198;19,7;+;60,3;90,8; 103 507;22,2;+;55,7;87,1
VW SCIROCCO;266;0,7;-;40,9;64,3; 6 900;1,5;-;23,4;62,9
SONSTIGE;4;0;-;84,6;75;41;0;-;92,8;73,2
ZUSAMMEN   ; 36 465 ;14,9;+;16,3;74,9; 465 713;14,7;+ ;11,5;75,6
Obere Mittelklasse ; ; ; ;; ; ; ; ;; 
ALPINA B3;11;0,1;;X;72,7;158;0,1;+;38,6;67,1
ALPINA B5;10;0,1;;X;80;116;0,1; ;X;82,8
AUDI A6, S6, RS6, A7; 4 459;32,6;+;32,3;86,8; 46 076;28,1;+;45,4;86,8
BMW 5ER; 4 450;32,5;-;11,8;84,8; 59 756;36,5;+;29,9;83,2
CHRYSLER 300C;4;0;-;95,9;100;155;0,1;-;78,2;81,3
CITROEN C6;3;0;;X;-;69;0;-;34,3;66,7
INFINITI M;19;0,1;;X;78,9;224;0,1;+;505,4;88,8
JAGUAR XF;255;1,9;+;14,9;88,2; 1 918;1,2;-;4,2;79,3
LANCIA THEMA;22;0,2;;X;72,7;127;0,1; ;X;94,5
LEXUS GS;2;0;;X;100;33;0;-;79,1;81,8
MERCEDES E-KLASSE; 4 062;29,7;+;12,1;66,4; 49 961;30,5;-;7,7;64,9
RENAULT LATITUDE;56;0,4;;X;98,2;233;0,1; ;X;70,4
SAAB 9-5;2;0;-;95,7;50;157;0,1;-;23,8;65
VOLVO 70;277;2;-;40,7;77,3; 4 413;2,7;-;14;72,6
VOLVO 80;64;0,5;;X;92,2;343;0,2;-;1,2;82,8
SONSTIGE;1;0;;X;100;3;0;-;96,8;100
ZUSAMMEN   ; 13 697 ;5,6;+;5,8;79,9; 163 742;5,2;+ ;16,3;78,3
