Marke;Anzahl (Dezember);Anteil (Dezember);Vorzeichen (Dezember);Ver‰nderung (Dezember);Gewerblich Anteil (Dezember);Anzahl (Jahr);Anteil (Jahr);Vorzeichen (Jahr);Ver‰nderung (Jahr);Gewerblich Anteil (Jahr);
AUDI Q5   ; 1 305;9;-;34,2;65,5; 20 937;9,6;+;3,8;62;
AUDI Q7   ;213;1,5;+;21,7;76,5; 3 329;1,5;-;13,6;81,8;
BMW X3   ; 1 314;9;-;30,1;58,5; 20 800;9,5;-;19;56,7;
BMW X5   ;816;5,6;+;37,4;72,7; 5 818;2,7;-;28,8;81,8;
BMW X6   ;120;0,8;-;60,9;79,2; 2 888;1,3;-;35;80,8;
CADILLAC ESCALADE;5;0;;X;100;69;0;-;10,4;82,6;
DODGE NITRO   ;3;0;;X;66,7;56;0;-;20;23,2;
HYUNDAI SANTA FE   ;150;1;+;8,7;75,3; 2 105;1;+;13,5;69,4;
JEEP COMPASS   ;80;0,5;+;11,1;80; 1 300;0,6;-;6,4;74,1;
JEEP GRAND CHEROKEE;430;3;+;94,6;79,5; 3 931;1,8;+;25,4;76,8;
JEEP WRANGLER   ;91;0,6;-;42,8;58,2; 1 648;0,8;-;20;63,8;
KIA SORENTO   ;103;0,7;-;44,3;64,1; 1 923;0,9;-;42,2;62,1;
LAND ROVER DISCOVERY;107;0,7;-;31;79,4; 1 379;0,6;-;7,2;74,3;
LAND ROVER FREELANDER;160;1,1;-;11,6;83,1; 1 828;0,8;+;17,4;68,7;
LAND ROVER RANGE ROVER;93;0,6;+;17,7;73,1; 1 934;0,9;+;110,4;75,5;
LAND ROVER RANGE ROVER EVO.;429;2,9;+;40,7;67,4; 5 027;2,3;-;0,4;62,7;
LAND ROVER RANGE ROVER SPORT;218;1,5;+;44,4;70,6; 2 247;1;+;7,4;77,3;
MERCEDES G-KLASSE;141;1;-;19,9;75,2; 1 950;0,9;+;16,1;76,2;
MERCEDES GL-KLASSE;98;0,7;-;49,5;84,7; 2 035;0,9;+;188,7;83,8;
MERCEDES ML-KLASSE;783;5,4;-;25,5;72,3; 12 105;5,6;-;18,5;79,2;
MITSUBISHI PAJERO, MONTERO;106;0,7;-;12,4;67; 1 227;0,6;-;20,2;52,7;
NISSAN PATHFINDER;41;0,3;-;61,3;80,5;552;0,3;-;37,6;79,7;
NISSAN X-TRAIL   ;75;0,5;-;66,1;54,7; 1 245;0,6;-;30,8;56,2;
PORSCHE CAYENNE;400;2,7;-32,2;;71,5; 7 076;3,2;-17;;70,7;
SSANGYONG KORANDO, ACTYON;68;0,5;+;51,1;63,2;498;0,2;+;10,9;45,8;
SSANGYONG REXTON;18;0,1;-;74,6;27,8;164;0,1;-;23,4;68,9;
SUBARU FORESTER;118;0,8;-;86,5;42,4; 3 256;1,5;-;34,9;58,6;
SUZUKI GRAND VITARA;242;1,7;-;23,7;55; 3 035;1,4;-;23,3;40,7;
SUZUKI JIMNY   ;247;1,7;-;29,8;38,5; 3 767;1,7;-;13,1;25,1;
TOYOTA LANDCRUISER;112;0,8;+;13,1;79,5; 1 184;0,5;-;36,1;77,3;
VOLVO XC60   ;822;5,6;+;42,2;66,8; 8 774;4;-;10,6;68;
VOLVO XC90   ;112;0,8;-;11,1;63,4; 1 741;0,8;-;5,9;70,5;
VW TIGUAN   ; 3 168;21,8;-;19,4;53,2; 57 838;26,5;+;4;45,9;
VW TOUAREG   ;833;5,7;+;7,2;89,7; 9 000;4,1;-;15,4;86,6;
SONSTIGE   ;2;0;;X;100;23;0;-;52,1;60,9;
ZUSAMMEN   ; 14 560 ;6,8;-;19;64,1; 218 068;7,4;- ;7,1;59,7;
Sportwagen ;; ; ; ;; ; ; ; ;; 
ALFA 8C COMPETIZIONE;6;0,3;;X;66,7;13;0; ;X;46,2;
ASTON MARTIN DBS;-;-;;X;-;8;0;-;74,2;62,5;
ASTON MARTIN DB9;1;0,1;;X;100;69;0,2; ;X;76,8;
ASTON MARTIN RAPIDE;1;0,1;;X;-;54;0,1;+;17,4;81,5;
ASTON MARTIN VANQUISH;1;0,1;;X;100;53;0,1; ;X;71,7;
ASTON MARTIN VIRAGE;2;0,1;;X;100;9;0;-;76,9;77,8;
ASTON MARTIN V8   ;14;0,8;;X;100;138;0,3;-;13,2;59,4;
ASTON MARTIN V12   ;1;0,1;;X;-;28;0,1; ;X;75;
AUDI R8   ;12;0,7;;X;91,7;527;1,3;-;18,5;83,1;
AUDI TT   ;163;8,9;+;16,4;65; 3 601;9;-;25,5;72,8;
BMW Z1   ;-;-;;X;-;2;0; ;X;-;
BMW Z4   ;86;4,7;-;17,3;40,7; 2 584;6,4;-;17,2;62;
CHEVROLET CAMARO;35;1,9;;X;51,4;633;1,6;-;13,4;41,4;
CHEVROLET CORVETTE;5;0,3;;X;40;66;0,2;+;11,9;48,5;
FERRARI CALIFORNIA;5;0,3;;X;80;79;0,2;-;44,8;64,6;
FERRARI F 12   ;3;0,2;;X;66,7;193;0,5;+;421,6;59,1;
FERRARI F 430   ;-;-;;X;-;3;0; ;X;66,7;
FERRARI F 550, 575 MARANELLO;-;-;;X;-;1;0; ;X;100;
FERRARI FF   ;5;0,3;;X;80;54;0,1;-;52,6;77,8;
FERRARI 458   ;7;0,4;;X;85,7;317;0,8;-;30,8;61,2;
FERRARI 599 GTO   ;-;-;;X;-;1;0; ;X;100;
HONDA CR-Z   ;1;0,1;;X;-;69;0,2;-;82,3;43,5;
